_id,basic_element,recipe_title,calories,date_added,recipe_category,dif_rate,exec_time (min),special_d,_elements,exec,photo
24,Beef,Easy Meatloaf,372,5/18/2021,Lunch,2,60,," 1 ½ pounds ground beef
1 egg
1 onion, chopped
1 cup milk
1 cup dried bread crumbs
salt and pepper to taste
2 tablespoons brown sugar
2 tablespoons prepared mustard
⅓ cup ketchup ","Preheat oven to 350 degrees F (175 degrees C).

In a large bowl, combine the beef, egg, onion, milk and bread OR cracker crumbs. Season with salt and pepper to taste and place in a lightly greased 9x5-inch loaf pan, or form into a loaf and place in a lightly greased 9x13-inch baking dish.

In a separate small bowl, combine the brown sugar, mustard and ketchup. Mix well and pour over the meatloaf.


Bake at 350 degrees F (175 degrees C) for 1 hour.",
25,Chorizo,Air Fryer Mini Breakfast Burritos,254,5/11/2021,Breakfast,2,10,," ¼ cup Mexican-style chorizo
1 tablespoon bacon grease
½ cup diced potatoes
2 tablespoons chopped onion
1 serrano pepper, chopped
2 large eggs
salt and ground black pepper to taste
4 (8 inch) flour tortillas
avocado oil cooking spray ","Cook chorizo in a large skillet over medium-high heat, stirring frequently, until sausage turns a dark red, 6 to 8 minutes. Remove from the skillet and set aside.
Melt bacon grease in the same skillet over medium-high heat. Add diced potatoes and cook, stirring occasionally, 8 to 10 minutes. Add onion and serrano pepper and continue cooking and stirring until potatoes are fork-tender, onion is translucent, and serrano pepper is soft, 2 to 6 minutes. Add eggs and chorizo; stir until cooked and completely incorporated into potato mixture, about 5 minutes. Season with salt and pepper.
Meanwhile, heat tortillas in a large skillet or directly on the grates of a gas stove until soft and pliable. Place 1/3 cup chorizo mixture down the center of each tortilla. Fold top and bottom of tortillas over the filling, then roll each into a burrito shape. Mist with cooking spray and place in the basket of an air fryer.
Air fry at 400 degrees F (200 degrees C) for 4 to 6 minutes. Flip each burrito over, mist with cooking spray, and air fry until lightly browned, 2 to 4 minutes more.",
26, Black-eyed peas,Slow Cooker Spicy Black-Eyed Peas,199,5/30/2021,Lunch,3,40,," 1 cube chicken bouillon
1 pound dried black-eyed peas, sorted and rinsed
1 onion, diced
2 cloves garlic, diced
1 red bell pepper, stemmed, seeded, and diced
1 jalapeno chile, seeded and minced
8 ounces diced ham
4 slices bacon, chopped
½ teaspoon cayenne pepper
1 ½ teaspoons cumin
salt, to taste
1 teaspoon ground black pepper ","Pour the water into a slow cooker, add the bouillon cube, and stir to dissolve. Combine the black-eyed peas, onion, garlic, bell pepper, jalapeno pepper, ham, bacon, cayenne pepper, cumin, salt, and pepper; stir to blend. Cover the slow cooker and cook on Low for 6 to 8 hours until the beans are tender.",
27,Avocado,Chilled avocado soup with tortilla chips,202,5/15/2021,Soup,2,20,Vegeterian,"1 large ripe avoacdo|1 cucumber|4 spring onions|a few sprigs of fresh coriander|250 ml organic vegetable stock , chilled|200 ml plain yoghurt|1 mild fresh green chilli|1 lime|Tabasco sauce|1 fresh red chilli|1 handful of micro garlic chives|TORTILLA CHIPS|½ tablespoon olive oil|½ teaspoon hot smoked paprika|2 soft corn tortillas","Preheat the oven to 200ºC/gas 6.|For the tortilla chips, combine the oil and paprika, then brush over both sides of the tortillas.|Bake on a baking tray for 5 minutes, or until golden and crisp. Season well and set aside to cool, then break into pieces.|To make the soup, peel, destone and chop the avocado. Peel and deseed the cucumber, reserving a whole 3cm piece to one side. Trim and roughly chop the spring onions, then pick and roughly chop the coriander leaves.|Blitz the avocado, cucumber, spring onions, coriander, stock, yoghurt and green chilli in a blender until smooth.
|Season with lime juice, Tabasco, and a good pinch of sea salt and black pepper, then cover with clingfilm and put in the fridge to chill.|Peel, deseed and finely chop the reserved cucumber, then finely slice the chilli.|Once the soup is chilled, serve in small bowls topped with the tortilla chips, chopped cucumber, red chilli and garlic chives. Finish with a drizzle of avocado oil, if you like.",
28,Turkey,Turkey & coconut milk soup,180,5/15/2021,Soup,1,25,,"2 lemongrass stalks|3 Thai shallots|2 bird’s-eye chillies|1 thumb-sized piece of galangal or ginger|3 coriander roots , optional|500 ml organic turkey or chicken stock|1 x 400 ml tin of light coconut milk|1 teaspoon palm or soft brown sugar|3 kaffir lime leaves|100 g oyster mushrooms|200 g cooked, skinless turkey|1-2 tablespoons fish sauce|1/2 lime|a few sprigs of fresh coriander","Trim and bruise the lemongrass, peel and bruise the shallots and bruise the chillies. Thinly slice the galangal or ginger, then scrub and bruise the coriander roots (if using).|Add the stock and coconut milk to a large saucepan. Bring to the boil, then turn the heat down.|Add the sugar, lemongrass, shallots, chillies, lime leaves, galangal or ginger and coriander roots (if using). Season and simmer gently for 5 minutes.|Tear the mushrooms and shred or slice the turkey, then add to the pan and reduce the heat to low. Simmer for another 2 to 3 minutes, then add fish sauce and lime juice to taste.|The finished soup should be sour, salty and hot so add another bruised chilli or two, if needed. Serve hot, with a few coriander leaves scattered on top.",
29,Seafood,Fish soup,240,5/15/2021,Soup,3,30,Dairy-free,"1 small bulb of fennel|1 leek|3 sticks of celery|1 fresh red chilli|4 cloves of garlic|3-4 tomatoes|1 bunch of fresh thyme|440 g white fish, from|sustainable sources|olive oil|1 small glass of white wine|400 g prawns, mussels or clams, from sustainable sources|extra virgin olive oil","Trim and finely chop the fennel, leek, celery and chilli, and peel and finely chop the garlic. Roughly chop the tomatoes, pick the thyme leaves and chop the fish into chunks.|Gently cook the fennel, leek, celery, most of the chilli and the garlic in olive oil over a medium heat, until soft.|Add 1 litre water and the wine, bring to the boil, then reduce heat and simmer until vegetables are cooked.|Add the tomatoes, thyme and fish. When fish turns opaque, add the prawns, mussels or clams and simmer for 2 minutes until prawns are cooked and mussels are open.|Season and serve with a drizzle of extra virgin olive oil and a scattering of fresh chilli.",
30,Mushroom,Creamy mushroom soup,148,5/15/2021,Soup,1,45,,600 g mixed mushrooms|1 onion|2 sticks of celery|3 cloves of garlic|a few sprigs of fresh flat-leaf parsley|a few sprigs of fresh thyme|olive oil|1.5 litres organic chicken or vegetable stock|75 ml single cream|6 slices of ciabatta|extra virgin olive oil,"Brush the mushrooms clean, then finely slice.|Peel and finely slice the onion, celery and garlic, then pick the parsley, finely chopping the stalks. Pick the thyme leaves.|Heat a splash of olive oil in a large saucepan over a medium heat, add the onion, celery, garlic, parsley stalks, thyme leaves and mushrooms, pop the lid on and cook gently until softened.|Spoon out 4 tablespoons of mushrooms, and keep for later.|Pour the stock into the pan and bring to the boil over a medium heat, turn the heat down to low and simmer for 15 minutes.|Season to taste with sea salt and black pepper, then whiz with a stick blender until smooth.
Pour in the cream, bring just back to the boil, then turn off the heat.|Toast the ciabatta on a hot griddle pan, then top with most of the reserved mushrooms and drizzle lightly with extra virgin olive oil.|Spoon the soup into bowls, garnish with the chopped parsley and remaining mushrooms, and serve with the ciabatta crostini on the side.",
31,Pumpkin,Pumpkin & ginger soup,90,5/15/2021,Soup,2,60,Vegeterian| Dairy-free|Gluten-free|Vegan,"1 kg pumpkin|2 shallots|75 g ginger|a few sprigs of fresh herbs , such as chives, mint|extra virgin olive oil|1 litre organic vegetable stock|125 ml coconut milk , plus extra to serve|½ tablespoon chilli powder|1 lime","Deseed and roughly chop the pumpkin, peel and chop the shallots, then peel and finely grate the ginger. Pick and finely chop the herbs.|Place the pumpkin, shallots, ginger and some oil in a large saucepan and sauté until soft.|Add the stock, coconut milk and chilli powder. Season, then bring to the boil and simmer for 40 minutes.|Blitz in a food processor then serve with the fresh herbs, lime juice and a splash of coconut milk.",









